Lemma,CEFR,POS,Frq abs,Frq ipm
душ,A1,n,2823,17.82
невысокий,A1,adj,2811,17.75
усталый,A1,adj,2788,17.60
индийский,A1,adj,2732,17.25
перчатка,A1,n,2728,17.22
колбаса,A1,n,2721,17.18
семьдесят,A1,num,2721,17.18
непростой,A1,adj,2714,17.13
полотенце,A1,n,2707,17.09
араб,A1,n,2629,16.60
анкета,A1,n,2623,16.56
выезд,A1,n,2606,16.45
конфета,A1,n,2585,16.32
день рождения,A1,n,2583,16.31
жарко,A1,adv,2572,16.24
джинсы,A1,n,2528,15.96
салат,A1,n,2480,15.66
электричество,A1,n,2464,15.56
пирог,A1,n,2439,15.40
певец,A1,n,2421,15.28
тетрадь,A1,n,2421,15.28
олимпиада,A1,n,2412,15.23
вдова,A1,n,2401,15.16
европеец,A1,n,2400,15.15
восемьдесят,A1,num,2375,14.99
аптека,A1,n,2351,14.84
девяносто,A1,num,2322,14.66
пятьсот,A1,num,2317,14.63
капуста,A1,n,2304,14.55
обедать,A1,v,2302,14.53
трусы,A1,n,2270,14.33
спичка,A1,n,2267,14.31
предлог,A1,n,2256,14.24
воровать,A1,v,2254,14.23
мотоцикл,A1,n,2235,14.11
ноль,A1,num,2218,14.00
пульт,A1,n,2203,13.91
чайный,A1,adj,2176,13.74
мороженое,A1,n,2139,13.50
вежливый,A1,adj,2109,13.31
огурец,A1,n,2102,13.27
настоящее,A1,n,2095,13.23
глагол,A1,n,2072,13.08
открытка,A1,n,2068,13.06
орех,A1,n,2055,12.97
балет,A1,n,1984,12.53
подписывать,A1,v,1972,12.45
русский язык,A1,mwe,1959,12.37
стоп,A1,excl,1938,12.23
шестнадцать,A1,num,1932,12.20
вилка,A1,n,1919,12.11
раковина,A1,n,1905,12.03
шоколад,A1,n,1874,11.83
африканский,A1,adj,1867,11.79
восемнадцать,A1,num,1859,11.74
бутерброд,A1,n,1797,11.34
четырнадцать,A1,num,1781,11.24
студентка,A1,n,1772,11.19
мобильник,A1,n,1766,11.15
зубной,A1,adj,1745,11.02
тост,A1,n,1742,11.00
соленый,A1,adj,1716,10.83
внучка,A1,n,1701,10.74
голландский,A1,adj,1696,10.71
растительный,A1,adj,1678,10.59
картофель,A1,n,1674,10.57
семнадцать,A1,num,1653,10.44
азиатский,A1,adj,1651,10.42
украинец,A1,n,1645,10.39
супермаркет,A1,n,1641,10.36
слог,A1,n,1629,10.28
финн,A1,n,1629,10.28
торт,A1,n,1628,10.28
въезд,A1,n,1606,10.14
тринадцать,A1,num,1601,10.11
троллейбус,A1,n,1591,10.04
певица,A1,n,1580,9.97
помидор,A1,n,1566,9.89
свитер,A1,n,1565,9.88
замужем,A1,adv,1561,9.85
низ,A1,n,1542,9.73
фиолетовый,A1,adj,1515,9.56
светло,A1,adv,1508,9.52
перец,A1,n,1497,9.45
некрасивый,A1,adj,1489,9.40
пешеход,A1,n,1475,9.31
банан,A1,n,1451,9.16
продавщица,A1,n,1436,9.07
алфавит,A1,n,1431,9.03
испанец,A1,n,1409,8.90
ужинать,A1,v,1404,8.86
запрещаться,A1,v,1402,8.85
нехорошо,A1,adv,1399,8.83
запоминать,A1,v,1397,8.82
раздеваться,A1,v,1396,8.81
пирожок,A1,n,1394,8.80
виноград,A1,n,1392,8.79
лимон,A1,n,1384,8.74
наизусть,A1,adv,1337,8.44
груша,A1,n,1310,8.27
рис,A1,n,1293,8.16
виски,A1,n,1291,8.15
адресат,A1,n,1270,8.02
здороваться,A1,v,1255,7.92
апельсин,A1,n,1227,7.75
аллергия,A1,n,1195,7.54
светофор,A1,n,1168,7.37
теннис,A1,n,1138,7.18
завтракать,A1,v,1116,7.05
консульство,A1,n,1088,6.87
выключать,A1,v,1062,6.70
консул,A1,n,1036,6.54
четыреста,A1,num,1035,6.53
прокладка,A1,n,1024,6.46
гражданка,A1,n,999,6.31
сливки,A1,n,978,6.17
запятая,A1,n,955,6.03
ударение,A1,n,927,5.85
им,A1,pron,902,5.69
девятнадцать,A1,num,896,5.66
сосиска,A1,n,883,5.57
хоккей,A1,n,854,5.39
макароны,A1,n,835,5.27
